"orderid","customerid","employeeid","orderdate","requireddate","shippeddate","shipperid","freight"
10576,"TORTU",3,"2014-06-23","2014-07-07","2014-06-30",3,"18.56000"
10577,"TRAIH",9,"2014-06-23","2014-08-04","2014-06-30",2,"25.41000"
10578,"BSBEV",4,"2014-06-24","2014-07-22","2014-07-25",3,"29.60000"
10579,"LETSS",1,"2014-06-25","2014-07-23","2014-07-04",2,"13.73000"
10580,"OTTIK",4,"2014-06-26","2014-07-24","2014-07-01",3,"75.89000"
10581,"FAMIA",3,"2014-06-26","2014-07-24","2014-07-02",1,"3.01000"
10582,"BLAUS",3,"2014-06-27","2014-07-25","2014-07-14",2,"27.71000"
10583,"WARTH",2,"2014-06-30","2014-07-28","2014-07-04",2,"7.28000"
10584,"BLONP",4,"2014-06-30","2014-07-28","2014-07-04",1,"59.14000"
10585,"WELLI",7,"2014-07-01","2014-07-29","2014-07-10",1,"13.41000"
10586,"REGGC",9,"2014-07-02","2014-07-30","2014-07-09",1,"0.48000"
10587,"QUEDE",1,"2014-07-02","2014-07-30","2014-07-09",1,"62.52000"
10588,"QUICK",2,"2014-07-03","2014-07-31","2014-07-10",3,"194.67000"
10589,"GREAL",8,"2014-07-04","2014-08-01","2014-07-14",2,"4.42000"
10590,"MEREP",4,"2014-07-07","2014-08-04","2014-07-14",3,"44.77000"
10591,"VAFFE",1,"2014-07-07","2014-07-21","2014-07-16",1,"55.92000"
10592,"LEHMS",3,"2014-07-08","2014-08-05","2014-07-16",1,"32.10000"
10593,"LEHMS",7,"2014-07-09","2014-08-06","2014-08-13",2,"174.20000"
10594,"OLDWO",3,"2014-07-09","2014-08-06","2014-07-16",2,"5.24000"
10595,"ERNSH",2,"2014-07-10","2014-08-07","2014-07-14",1,"96.78000"
10596,"WHITC",8,"2014-07-11","2014-08-08","2014-08-12",1,"16.34000"
10597,"PICCO",7,"2014-07-11","2014-08-08","2014-07-18",3,"35.12000"
10598,"RATTC",1,"2014-07-14","2014-08-11","2014-07-18",3,"44.42000"
10599,"BSBEV",6,"2014-07-15","2014-08-26","2014-07-21",3,"29.98000"
10600,"HUNGC",4,"2014-07-16","2014-08-13","2014-07-21",1,"45.13000"
10601,"HILAA",7,"2014-07-16","2014-08-27","2014-07-22",1,"58.30000"
10602,"VAFFE",8,"2014-07-17","2014-08-14","2014-07-22",2,"2.92000"
10603,"SAVEA",8,"2014-07-18","2014-08-15","2014-08-08",2,"48.77000"
10604,"FURIB",1,"2014-07-18","2014-08-15","2014-07-29",1,"7.46000"
10605,"MEREP",1,"2014-07-21","2014-08-18","2014-07-29",2,"379.13000"
10606,"TRADH",4,"2014-07-22","2014-08-19","2014-07-31",3,"79.40000"
10607,"SAVEA",5,"2014-07-22","2014-08-19","2014-07-25",1,"200.24000"
10608,"TOMSP",4,"2014-07-23","2014-08-20","2014-08-01",2,"27.79000"
10609,"DUMON",7,"2014-07-24","2014-08-21","2014-07-30",2,"1.85000"
10610,"LAMAI",8,"2014-07-25","2014-08-22","2014-08-06",1,"26.78000"
10611,"WOLZA",6,"2014-07-25","2014-08-22","2014-08-01",2,"80.65000"
10612,"SAVEA",1,"2014-07-28","2014-08-25","2014-08-01",2,"544.08000"
10613,"HILAA",4,"2014-07-29","2014-08-26","2014-08-01",2,"8.11000"
10614,"BLAUS",8,"2014-07-29","2014-08-26","2014-08-01",3,"1.93000"
10615,"WILMK",2,"2014-07-30","2014-08-27","2014-08-06",3,"0.75000"
10616,"GREAL",1,"2014-07-31","2014-08-28","2014-08-05",2,"116.53000"
10617,"GREAL",4,"2014-07-31","2014-08-28","2014-08-04",2,"18.53000"
10618,"MEREP",1,"2014-08-01","2014-09-12","2014-08-08",1,"154.68000"
10619,"MEREP",3,"2014-08-04","2014-09-01","2014-08-07",3,"91.05000"
10620,"LAUGB",2,"2014-08-05","2014-09-02","2014-08-14",3,"0.94000"
10621,"ISLAT",4,"2014-08-05","2014-09-02","2014-08-11",2,"23.73000"
10622,"RICAR",4,"2014-08-06","2014-09-03","2014-08-11",3,"50.97000"
10623,"FRANK",8,"2014-08-07","2014-09-04","2014-08-12",2,"97.18000"
10624,"THECR",4,"2014-08-07","2014-09-04","2014-08-19",2,"94.80000"
10625,"ANATR",3,"2014-08-08","2014-09-05","2014-08-14",1,"43.90000"
10626,"BERGS",1,"2014-08-11","2014-09-08","2014-08-20",2,"138.69000"
10627,"SAVEA",8,"2014-08-11","2014-09-22","2014-08-21",3,"107.46000"
10628,"BLONP",4,"2014-08-12","2014-09-09","2014-08-20",3,"30.36000"
10629,"GODOS",4,"2014-08-12","2014-09-09","2014-08-20",3,"85.46000"
10630,"KOENE",1,"2014-08-13","2014-09-10","2014-08-19",2,"32.35000"
10631,"LAMAI",8,"2014-08-14","2014-09-11","2014-08-15",1,"0.87000"
10632,"WANDK",8,"2014-08-14","2014-09-11","2014-08-19",1,"41.38000"
10633,"ERNSH",7,"2014-08-15","2014-09-12","2014-08-18",3,"477.90000"
10634,"FOLIG",4,"2014-08-15","2014-09-12","2014-08-21",3,"487.38000"
10635,"MAGAA",8,"2014-08-18","2014-09-15","2014-08-21",3,"47.46000"
10636,"WARTH",4,"2014-08-19","2014-09-16","2014-08-26",1,"1.15000"
10637,"QUEEN",6,"2014-08-19","2014-09-16","2014-08-26",1,"201.29000"
10638,"LINOD",3,"2014-08-20","2014-09-17","2014-09-01",1,"158.44000"
10639,"SANTG",7,"2014-08-20","2014-09-17","2014-08-27",3,"38.64000"
10640,"WANDK",4,"2014-08-21","2014-09-18","2014-08-28",1,"23.55000"
10641,"HILAA",4,"2014-08-22","2014-09-19","2014-08-26",2,"179.61000"
10642,"SIMOB",7,"2014-08-22","2014-09-19","2014-09-05",3,"41.89000"
10643,"ALFKI",6,"2014-08-25","2014-09-22","2014-09-02",1,"29.46000"
10644,"WELLI",3,"2014-08-25","2014-09-22","2014-09-01",2,"0.14000"
10645,"HANAR",4,"2014-08-26","2014-09-23","2014-09-02",1,"12.41000"
10646,"HUNGO",9,"2014-08-27","2014-10-08","2014-09-03",3,"142.33000"
10647,"QUEDE",4,"2014-08-27","2014-09-10","2014-09-03",2,"45.54000"
10648,"RICAR",5,"2014-08-28","2014-10-09","2014-09-09",2,"14.25000"
10649,"MAISD",5,"2014-08-28","2014-09-25","2014-08-29",3,"6.20000"
10650,"FAMIA",5,"2014-08-29","2014-09-26","2014-09-03",3,"176.81000"
10651,"WANDK",8,"2014-09-01","2014-09-29","2014-09-11",2,"20.60000"
10652,"GOURL",4,"2014-09-01","2014-09-29","2014-09-08",2,"7.14000"
10653,"FRANK",1,"2014-09-02","2014-09-30","2014-09-19",1,"93.25000"
10654,"BERGS",5,"2014-09-02","2014-09-30","2014-09-11",1,"55.26000"
10655,"REGGC",1,"2014-09-03","2014-10-01","2014-09-11",2,"4.41000"
10656,"GREAL",6,"2014-09-04","2014-10-02","2014-09-10",1,"57.15000"
10657,"SAVEA",2,"2014-09-04","2014-10-02","2014-09-15",2,"352.69000"
10658,"QUICK",4,"2014-09-05","2014-10-03","2014-09-08",1,"364.15000"
10659,"QUEEN",7,"2014-09-05","2014-10-03","2014-09-10",2,"105.81000"
10660,"HUNGC",8,"2014-09-08","2014-10-06","2014-10-15",1,"111.29000"
10661,"HUNGO",7,"2014-09-09","2014-10-07","2014-09-15",3,"17.55000"
10662,"LONEP",3,"2014-09-09","2014-10-07","2014-09-18",2,"1.28000"
10663,"BONAP",2,"2014-09-10","2014-09-24","2014-10-03",2,"113.15000"
10664,"FURIB",1,"2014-09-10","2014-10-08","2014-09-19",3,"1.27000"
10665,"LONEP",1,"2014-09-11","2014-10-09","2014-09-17",2,"26.31000"
10666,"RICSU",7,"2014-09-12","2014-10-10","2014-09-22",2,"232.42000"
10667,"ERNSH",7,"2014-09-12","2014-10-10","2014-09-19",1,"78.09000"
10668,"WANDK",1,"2014-09-15","2014-10-13","2014-09-23",2,"47.22000"
10669,"SIMOB",2,"2014-09-15","2014-10-13","2014-09-22",1,"24.39000"
10670,"FRANK",4,"2014-09-16","2014-10-14","2014-09-18",1,"203.48000"
10671,"FRANR",1,"2014-09-17","2014-10-15","2014-09-24",1,"30.34000"
10672,"BERGS",9,"2014-09-17","2014-10-01","2014-09-26",2,"95.75000"
10673,"WILMK",2,"2014-09-18","2014-10-16","2014-09-19",1,"22.76000"
10674,"ISLAT",4,"2014-09-18","2014-10-16","2014-09-30",2,"0.90000"
10675,"FRANK",5,"2014-09-19","2014-10-17","2014-09-23",2,"31.85000"
10676,"TORTU",2,"2014-09-22","2014-10-20","2014-09-29",2,"2.01000"
10677,"ANTON",1,"2014-09-22","2014-10-20","2014-09-26",3,"4.03000"
10678,"SAVEA",7,"2014-09-23","2014-10-21","2014-10-16",3,"388.98000"
10679,"BLONP",8,"2014-09-23","2014-10-21","2014-09-30",3,"27.94000"
10680,"OLDWO",1,"2014-09-24","2014-10-22","2014-09-26",1,"26.61000"
10681,"GREAL",3,"2014-09-25","2014-10-23","2014-09-30",3,"76.13000"
10682,"ANTON",3,"2014-09-25","2014-10-23","2014-10-01",2,"36.13000"
10683,"DUMON",2,"2014-09-26","2014-10-24","2014-10-01",1,"4.40000"
10684,"OTTIK",3,"2014-09-26","2014-10-24","2014-09-30",1,"145.63000"
10685,"GOURL",4,"2014-09-29","2014-10-13","2014-10-03",2,"33.75000"
10686,"PICCO",2,"2014-09-30","2014-10-28","2014-10-08",1,"96.50000"
10687,"HUNGO",9,"2014-09-30","2014-10-28","2014-10-30",2,"296.43000"
10688,"VAFFE",4,"2014-10-01","2014-10-15","2014-10-07",2,"299.09000"
10689,"BERGS",1,"2014-10-01","2014-10-29","2014-10-07",2,"13.42000"
10690,"HANAR",1,"2014-10-02","2014-10-30","2014-10-03",1,"15.80000"
10691,"QUICK",2,"2014-10-03","2014-11-14","2014-10-22",2,"810.05000"
10692,"ALFKI",4,"2014-10-03","2014-10-31","2014-10-13",2,"61.02000"
10693,"WHITC",3,"2014-10-06","2014-10-20","2014-10-10",3,"139.34000"
10694,"QUICK",8,"2014-10-06","2014-11-03","2014-10-09",3,"398.36000"
10695,"WILMK",7,"2014-10-07","2014-11-18","2014-10-14",1,"16.72000"
10696,"WHITC",8,"2014-10-08","2014-11-19","2014-10-14",3,"102.55000"
10697,"LINOD",3,"2014-10-08","2014-11-05","2014-10-14",1,"45.52000"
10698,"ERNSH",4,"2014-10-09","2014-11-06","2014-10-17",1,"272.47000"
10699,"MORGK",3,"2014-10-09","2014-11-06","2014-10-13",3,"0.58000"
10700,"SAVEA",3,"2014-10-10","2014-11-07","2014-10-16",1,"65.10000"
10701,"HUNGO",6,"2014-10-13","2014-10-27","2014-10-15",3,"220.31000"
10702,"ALFKI",4,"2014-10-13","2014-11-24","2014-10-21",1,"23.94000"
10703,"FOLKO",6,"2014-10-14","2014-11-11","2014-10-20",2,"152.30000"
10704,"QUEEN",6,"2014-10-14","2014-11-11","2014-11-07",1,"4.78000"
10705,"HILAA",9,"2014-10-15","2014-11-12","2014-11-18",2,"3.52000"
10706,"OLDWO",8,"2014-10-16","2014-11-13","2014-10-21",3,"135.63000"
10707,"AROUT",4,"2014-10-16","2014-10-30","2014-10-23",3,"21.74000"
10708,"THEBI",6,"2014-10-17","2014-11-28","2014-11-05",2,"2.96000"
10709,"GOURL",1,"2014-10-17","2014-11-14","2014-11-20",3,"210.80000"
10710,"FRANS",1,"2014-10-20","2014-11-17","2014-10-23",1,"4.98000"
10711,"SAVEA",5,"2014-10-21","2014-12-02","2014-10-29",2,"52.41000"
10712,"HUNGO",3,"2014-10-21","2014-11-18","2014-10-31",1,"89.93000"
10713,"SAVEA",1,"2014-10-22","2014-11-19","2014-10-24",1,"167.05000"
10714,"SAVEA",5,"2014-10-22","2014-11-19","2014-10-27",3,"24.49000"
10715,"BONAP",3,"2014-10-23","2014-11-06","2014-10-29",1,"63.20000"
10716,"RANCH",4,"2014-10-24","2014-11-21","2014-10-27",2,"22.57000"
10717,"FRANK",1,"2014-10-24","2014-11-21","2014-10-29",2,"59.25000"
10718,"KOENE",1,"2014-10-27","2014-11-24","2014-10-29",3,"170.88000"
10719,"LETSS",8,"2014-10-27","2014-11-24","2014-11-05",2,"51.44000"
10720,"QUEDE",8,"2014-10-28","2014-11-11","2014-11-05",2,"9.53000"
10721,"QUICK",5,"2014-10-29","2014-11-26","2014-10-31",3,"48.92000"
10722,"SAVEA",8,"2014-10-29","2014-12-10","2014-11-04",1,"74.58000"
10723,"WHITC",3,"2014-10-30","2014-11-27","2014-11-25",1,"21.72000"
10724,"MEREP",8,"2014-10-30","2014-12-11","2014-11-05",2,"57.75000"
10725,"FAMIA",4,"2014-10-31","2014-11-28","2014-11-05",3,"10.83000"
10726,"EASTC",4,"2014-11-03","2014-11-17","2014-12-05",1,"16.56000"
10727,"REGGC",2,"2014-11-03","2014-12-01","2014-12-05",1,"89.90000"
10728,"QUEEN",4,"2014-11-04","2014-12-02","2014-11-11",2,"58.33000"
10729,"LINOD",8,"2014-11-04","2014-12-16","2014-11-14",3,"141.06000"
10730,"BONAP",5,"2014-11-05","2014-12-03","2014-11-14",1,"20.12000"
10731,"CHOPS",7,"2014-11-06","2014-12-04","2014-11-14",1,"96.65000"
10732,"BONAP",3,"2014-11-06","2014-12-04","2014-11-07",1,"16.97000"
10733,"BERGS",1,"2014-11-07","2014-12-05","2014-11-10",3,"110.11000"
10734,"GOURL",2,"2014-11-07","2014-12-05","2014-11-12",3,"1.63000"
10735,"LETSS",6,"2014-11-10","2014-12-08","2014-11-21",2,"45.97000"
10736,"HUNGO",9,"2014-11-11","2014-12-09","2014-11-21",2,"44.10000"
10737,"VINET",2,"2014-11-11","2014-12-09","2014-11-18",2,"7.79000"
10738,"SPECD",2,"2014-11-12","2014-12-10","2014-11-18",1,"2.91000"
10739,"VINET",3,"2014-11-12","2014-12-10","2014-11-17",3,"11.08000"
10740,"WHITC",4,"2014-11-13","2014-12-11","2014-11-25",2,"81.88000"
10741,"AROUT",4,"2014-11-14","2014-11-28","2014-11-18",3,"10.96000"
10742,"BOTTM",3,"2014-11-14","2014-12-12","2014-11-18",3,"243.73000"
10743,"AROUT",1,"2014-11-17","2014-12-15","2014-11-21",2,"23.72000"
10744,"VAFFE",6,"2014-11-17","2014-12-15","2014-11-24",1,"69.19000"
10745,"QUICK",9,"2014-11-18","2014-12-16","2014-11-27",1,"3.52000"
10746,"CHOPS",1,"2014-11-19","2014-12-17","2014-11-21",3,"31.43000"
10747,"PICCO",6,"2014-11-19","2014-12-17","2014-11-26",1,"117.33000"
10748,"SAVEA",3,"2014-11-20","2014-12-18","2014-11-28",1,"232.55000"
10749,"ISLAT",4,"2014-11-20","2014-12-18","2014-12-19",2,"61.53000"
10750,"WARTH",9,"2014-11-21","2014-12-19","2014-11-24",1,"79.30000"
10751,"RICSU",3,"2014-11-24","2014-12-22","2014-12-03",3,"130.79000"
10752,"NORTS",2,"2014-11-24","2014-12-22","2014-11-28",3,"1.39000"
10753,"FRANS",3,"2014-11-25","2014-12-23","2014-11-27",1,"7.70000"
10754,"MAGAA",6,"2014-11-25","2014-12-23","2014-11-27",3,"2.38000"
10755,"BONAP",4,"2014-11-26","2014-12-24","2014-11-28",2,"16.71000"
10756,"SPLIR",8,"2014-11-27","2014-12-25","2014-12-02",2,"73.21000"
10757,"SAVEA",6,"2014-11-27","2014-12-25","2014-12-15",1,"8.19000"
10758,"RICSU",3,"2014-11-28","2014-12-26","2014-12-04",3,"138.17000"
10759,"ANATR",3,"2014-11-28","2014-12-26","2014-12-12",3,"11.99000"
10760,"MAISD",4,"2014-12-01","2014-12-29","2014-12-10",1,"155.64000"
10761,"RATTC",5,"2014-12-02","2014-12-30","2014-12-08",2,"18.66000"
10762,"FOLKO",3,"2014-12-02","2014-12-30","2014-12-09",1,"328.74000"
10763,"FOLIG",3,"2014-12-03","2014-12-31","2014-12-08",3,"37.35000"
10764,"ERNSH",6,"2014-12-03","2014-12-31","2014-12-08",3,"145.45000"
10765,"QUICK",3,"2014-12-04","2015-01-01","2014-12-09",3,"42.74000"
10766,"OTTIK",4,"2014-12-05","2015-01-02","2014-12-09",1,"157.55000"
10767,"SUPRD",4,"2014-12-05","2015-01-02","2014-12-15",3,"1.59000"
10768,"AROUT",3,"2014-12-08","2015-01-05","2014-12-15",2,"146.32000"
10769,"VAFFE",3,"2014-12-08","2015-01-05","2014-12-12",1,"65.06000"
10770,"HANAR",8,"2014-12-09","2015-01-06","2014-12-17",3,"5.32000"
10771,"ERNSH",9,"2014-12-10","2015-01-07","2015-01-02",2,"11.19000"
10772,"LEHMS",3,"2014-12-10","2015-01-07","2014-12-19",2,"91.28000"
10773,"ERNSH",1,"2014-12-11","2015-01-08","2014-12-16",3,"96.43000"
10774,"FOLKO",4,"2014-12-11","2014-12-25","2014-12-12",1,"48.20000"
10775,"THECR",7,"2014-12-12","2015-01-09","2014-12-26",1,"20.25000"
10776,"ERNSH",1,"2014-12-15","2015-01-12","2014-12-18",3,"351.53000"
10777,"GOURL",7,"2014-12-15","2014-12-29","2015-01-21",2,"3.01000"
10778,"BERGS",3,"2014-12-16","2015-01-13","2014-12-24",1,"6.79000"
10779,"MORGK",3,"2014-12-16","2015-01-13","2015-01-14",2,"58.13000"
10780,"LILAS",2,"2014-12-16","2014-12-30","2014-12-25",1,"42.13000"
10781,"WARTH",2,"2014-12-17","2015-01-14","2014-12-19",3,"73.16000"
10782,"CACTU",9,"2014-12-17","2015-01-14","2014-12-22",3,"1.10000"
10783,"HANAR",4,"2014-12-18","2015-01-15","2014-12-19",2,"124.98000"
10784,"MAGAA",4,"2014-12-18","2015-01-15","2014-12-22",3,"70.09000"
10785,"GROSR",1,"2014-12-18","2015-01-15","2014-12-24",3,"1.51000"
10786,"QUEEN",8,"2014-12-19","2015-01-16","2014-12-23",1,"110.87000"
10787,"LAMAI",2,"2014-12-19","2015-01-02","2014-12-26",1,"249.93000"
10788,"QUICK",1,"2014-12-22","2015-01-19","2015-01-19",2,"42.70000"
10789,"FOLIG",1,"2014-12-22","2015-01-19","2014-12-31",2,"100.60000"
10790,"GOURL",6,"2014-12-22","2015-01-19","2014-12-26",1,"28.23000"
10791,"FRANK",6,"2014-12-23","2015-01-20","2015-01-01",2,"16.85000"
10792,"WOLZA",1,"2014-12-23","2015-01-20","2014-12-31",3,"23.79000"
10793,"AROUT",3,"2014-12-24","2015-01-21","2015-01-08",3,"4.52000"
10794,"QUEDE",6,"2014-12-24","2015-01-21","2015-01-02",1,"21.49000"
10795,"ERNSH",8,"2014-12-24","2015-01-21","2015-01-20",2,"126.66000"
10796,"HILAA",3,"2014-12-25","2015-01-22","2015-01-14",1,"26.52000"
10797,"DRACD",7,"2014-12-25","2015-01-22","2015-01-05",2,"33.35000"
10798,"ISLAT",2,"2014-12-26","2015-01-23","2015-01-05",1,"2.33000"
10799,"KOENE",9,"2014-12-26","2015-02-06","2015-01-05",3,"30.76000"
10800,"SEVES",1,"2014-12-26","2015-01-23","2015-01-05",3,"137.44000"
10801,"BOLID",4,"2014-12-29","2015-01-26","2014-12-31",2,"97.09000"
10802,"SIMOB",4,"2014-12-29","2015-01-26","2015-01-02",2,"257.26000"
10803,"WELLI",4,"2014-12-30","2015-01-27","2015-01-06",1,"55.23000"
10804,"SEVES",6,"2014-12-30","2015-01-27","2015-01-07",2,"27.33000"
10805,"THEBI",2,"2014-12-30","2015-01-27","2015-01-09",3,"237.34000"
10806,"VICTE",3,"2014-12-31","2015-01-28","2015-01-05",2,"22.11000"
10807,"FRANS",4,"2014-12-31","2015-01-28","2015-01-30",1,"1.36000"
10808,"OLDWO",2,"2015-01-01","2015-01-29","2015-01-09",3,"45.53000"
10809,"WELLI",7,"2015-01-01","2015-01-29","2015-01-07",1,"4.87000"
10810,"LAUGB",2,"2015-01-01","2015-01-29","2015-01-07",3,"4.33000"
10811,"LINOD",8,"2015-01-02","2015-01-30","2015-01-08",1,"31.22000"
10812,"REGGC",5,"2015-01-02","2015-01-30","2015-01-12",1,"59.78000"
10813,"RICAR",1,"2015-01-05","2015-02-02","2015-01-09",1,"47.38000"
10814,"VICTE",3,"2015-01-05","2015-02-02","2015-01-14",3,"130.94000"
10815,"SAVEA",2,"2015-01-05","2015-02-02","2015-01-14",3,"14.62000"
10816,"GREAL",4,"2015-01-06","2015-02-03","2015-02-04",2,"719.78000"
10817,"KOENE",3,"2015-01-06","2015-01-20","2015-01-13",2,"306.07000"
10818,"MAGAA",7,"2015-01-07","2015-02-04","2015-01-12",3,"65.48000"
10819,"CACTU",2,"2015-01-07","2015-02-04","2015-01-16",3,"19.76000"
10820,"RATTC",3,"2015-01-07","2015-02-04","2015-01-13",2,"37.52000"
10821,"SPLIR",1,"2015-01-08","2015-02-05","2015-01-15",1,"36.68000"
10822,"TRAIH",6,"2015-01-08","2015-02-05","2015-01-16",3,"7.00000"
10823,"LILAS",5,"2015-01-09","2015-02-06","2015-01-13",2,"163.97000"
10824,"FOLKO",8,"2015-01-09","2015-02-06","2015-01-30",1,"1.23000"
10825,"DRACD",1,"2015-01-09","2015-02-06","2015-01-14",1,"79.25000"
10826,"BLONP",6,"2015-01-12","2015-02-09","2015-02-06",1,"7.09000"
10827,"BONAP",1,"2015-01-12","2015-01-26","2015-02-06",2,"63.54000"
10828,"RANCH",9,"2015-01-13","2015-01-27","2015-02-04",1,"90.85000"
10829,"ISLAT",9,"2015-01-13","2015-02-10","2015-01-23",1,"154.72000"
10830,"TRADH",4,"2015-01-13","2015-02-24","2015-01-21",2,"81.83000"
10831,"SANTG",3,"2015-01-14","2015-02-11","2015-01-23",2,"72.19000"
10832,"LAMAI",2,"2015-01-14","2015-02-11","2015-01-19",2,"43.26000"
10833,"OTTIK",6,"2015-01-15","2015-02-12","2015-01-23",2,"71.49000"
10834,"TRADH",1,"2015-01-15","2015-02-12","2015-01-19",3,"29.78000"
10835,"ALFKI",1,"2015-01-15","2015-02-12","2015-01-21",3,"69.53000"
10836,"ERNSH",7,"2015-01-16","2015-02-13","2015-01-21",1,"411.88000"
10837,"BERGS",9,"2015-01-16","2015-02-13","2015-01-23",3,"13.32000"
10838,"LINOD",3,"2015-01-19","2015-02-16","2015-01-23",3,"59.28000"
10839,"TRADH",3,"2015-01-19","2015-02-16","2015-01-22",3,"35.43000"
10840,"LINOD",4,"2015-01-19","2015-03-02","2015-02-16",2,"2.71000"
10841,"SUPRD",5,"2015-01-20","2015-02-17","2015-01-29",2,"424.30000"
10842,"TORTU",1,"2015-01-20","2015-02-17","2015-01-29",3,"54.42000"
10843,"VICTE",4,"2015-01-21","2015-02-18","2015-01-26",2,"9.26000"
10844,"PICCO",8,"2015-01-21","2015-02-18","2015-01-26",2,"25.22000"
10845,"QUICK",8,"2015-01-21","2015-02-04","2015-01-30",1,"212.98000"
10846,"SUPRD",2,"2015-01-22","2015-03-05","2015-01-23",3,"56.46000"
10847,"SAVEA",4,"2015-01-22","2015-02-05","2015-02-10",3,"487.57000"
10848,"CONSH",7,"2015-01-23","2015-02-20","2015-01-29",2,"38.24000"
10849,"KOENE",9,"2015-01-23","2015-02-20","2015-01-30",2,"0.56000"
10850,"VICTE",1,"2015-01-23","2015-03-06","2015-01-30",1,"49.19000"
10851,"RICAR",5,"2015-01-26","2015-02-23","2015-02-02",1,"160.55000"
10852,"RATTC",8,"2015-01-26","2015-02-09","2015-01-30",1,"174.05000"
10853,"BLAUS",9,"2015-01-27","2015-02-24","2015-02-03",2,"53.83000"
10854,"ERNSH",3,"2015-01-27","2015-02-24","2015-02-05",2,"100.22000"
10855,"OLDWO",3,"2015-01-27","2015-02-24","2015-02-04",1,"170.97000"
10856,"ANTON",3,"2015-01-28","2015-02-25","2015-02-10",2,"58.43000"
10857,"BERGS",8,"2015-01-28","2015-02-25","2015-02-06",2,"188.85000"
10858,"LACOR",2,"2015-01-29","2015-02-26","2015-02-03",1,"52.51000"
10859,"FRANK",1,"2015-01-29","2015-02-26","2015-02-02",2,"76.10000"
10860,"FRANR",3,"2015-01-29","2015-02-26","2015-02-04",3,"19.26000"
10861,"WHITC",4,"2015-01-30","2015-02-27","2015-02-17",2,"14.93000"
10862,"LEHMS",8,"2015-01-30","2015-03-13","2015-02-02",2,"53.23000"
10863,"HILAA",4,"2015-02-02","2015-03-02","2015-02-17",2,"30.26000"
10864,"AROUT",4,"2015-02-02","2015-03-02","2015-02-09",2,"3.04000"
10865,"QUICK",2,"2015-02-02","2015-02-16","2015-02-12",1,"348.14000"
10866,"BERGS",5,"2015-02-03","2015-03-03","2015-02-12",1,"109.11000"
10867,"LONEP",6,"2015-02-03","2015-03-17","2015-02-11",1,"1.93000"
10868,"QUEEN",7,"2015-02-04","2015-03-04","2015-02-23",2,"191.27000"
10869,"SEVES",5,"2015-02-04","2015-03-04","2015-02-09",1,"143.28000"
10870,"WOLZA",5,"2015-02-04","2015-03-04","2015-02-13",3,"12.04000"
10871,"BONAP",9,"2015-02-05","2015-03-05","2015-02-10",2,"112.27000"
10872,"GODOS",5,"2015-02-05","2015-03-05","2015-02-09",2,"175.32000"
10873,"WILMK",4,"2015-02-06","2015-03-06","2015-02-09",1,"0.82000"
10874,"GODOS",5,"2015-02-06","2015-03-06","2015-02-11",2,"19.58000"
10875,"BERGS",4,"2015-02-06","2015-03-06","2015-03-03",2,"32.37000"
10876,"BONAP",7,"2015-02-09","2015-03-09","2015-02-12",3,"60.42000"
10877,"RICAR",1,"2015-02-09","2015-03-09","2015-02-19",1,"38.06000"
10878,"QUICK",4,"2015-02-10","2015-03-10","2015-02-12",1,"46.69000"
10879,"WILMK",3,"2015-02-10","2015-03-10","2015-02-12",3,"8.50000"
10880,"FOLKO",7,"2015-02-10","2015-03-24","2015-02-18",1,"88.01000"
10881,"CACTU",4,"2015-02-11","2015-03-11","2015-02-18",1,"2.84000"
10882,"SAVEA",4,"2015-02-11","2015-03-11","2015-02-20",3,"23.10000"
10883,"LONEP",8,"2015-02-12","2015-03-12","2015-02-20",3,"0.53000"
10884,"LETSS",4,"2015-02-12","2015-03-12","2015-02-13",2,"90.97000"
10885,"SUPRD",6,"2015-02-12","2015-03-12","2015-02-18",3,"5.64000"
10886,"HANAR",1,"2015-02-13","2015-03-13","2015-03-02",1,"4.99000"
10887,"GALED",8,"2015-02-13","2015-03-13","2015-02-16",3,"1.25000"
10888,"GODOS",1,"2015-02-16","2015-03-16","2015-02-23",2,"51.87000"
10889,"RATTC",9,"2015-02-16","2015-03-16","2015-02-23",3,"280.61000"
10890,"DUMON",7,"2015-02-16","2015-03-16","2015-02-18",1,"32.76000"
10891,"LEHMS",7,"2015-02-17","2015-03-17","2015-02-19",2,"20.37000"
10892,"MAISD",4,"2015-02-17","2015-03-17","2015-02-19",2,"120.27000"
10893,"KOENE",9,"2015-02-18","2015-03-18","2015-02-20",2,"77.78000"
10894,"SAVEA",1,"2015-02-18","2015-03-18","2015-02-20",1,"116.13000"
10895,"ERNSH",3,"2015-02-18","2015-03-18","2015-02-23",1,"162.75000"
10896,"MAISD",7,"2015-02-19","2015-03-19","2015-02-27",3,"32.45000"
10897,"HUNGO",3,"2015-02-19","2015-03-19","2015-02-25",2,"603.54000"
10898,"OCEAN",4,"2015-02-20","2015-03-20","2015-03-06",2,"1.27000"
10899,"LILAS",5,"2015-02-20","2015-03-20","2015-02-26",3,"1.21000"
10900,"WELLI",1,"2015-02-20","2015-03-20","2015-03-04",2,"1.66000"
10901,"HILAA",4,"2015-02-23","2015-03-23","2015-02-26",1,"62.09000"
10902,"FOLKO",1,"2015-02-23","2015-03-23","2015-03-03",1,"44.15000"
10903,"HANAR",3,"2015-02-24","2015-03-24","2015-03-04",3,"36.71000"
10904,"WHITC",3,"2015-02-24","2015-03-24","2015-02-27",3,"162.95000"
